,WardCode,Ward,Region,Latitude,Longitude,Population,Index of Multiple Deprivation,Average Income,Remain%,Leave%,Leave?,Deficit
0,E05000106,Bickley,London,51.403386,0.043619,43.23142857142857,26731.23724489796,65522.448979591834,55.741321258562635,44.258678741437365,0,11.48264251712527
1,E05000107,Biggin Hill,London,51.319163,0.009059999999999999,49.0935960591133,23854.81978021978,59529.67032967033,35.30239099859353,64.69760900140648,1,29.395218002812946
2,E05000108,Bromley Common and Keston,London,51.35045,0.034039,51.776632302405496,21342.703608247422,59368.0412371134,47.217298830202054,52.782701169797946,1,5.565402339595892
3,E05000109,Bromley Town,London,51.401546,0.015415,48.15561959654179,17205.781722933643,57839.81373690338,57.34426229508197,42.65573770491803,0,14.688524590163937
4,E05000110,Chelsfield and Pratts Bottom,London,51.369232000000004,0.136792,43.41194029850746,27848.25814536341,60107.01754385965,45.92274678111588,54.07725321888412,1,8.154506437768234
5,E05000111,Chislehurst,London,51.401379,0.090643,40.88186813186813,25724.284848484847,63118.78787878788,52.89330024813896,47.10669975186104,0,5.786600496277913
6,E05000112,Clock House,London,51.407682,-0.032385000000000004,54.70629370629371,20643.852112676057,59297.18309859155,60.45918367346939,39.54081632653061,0,20.91836734693878
7,E05000113,Copers Cope,London,51.407775,-0.003321,37.69607843137255,25382.488,58656.13333333333,58.266796494644595,41.733203505355405,0,16.53359298928919
8,E05000114,Cray Valley East,London,51.386316,0.10366800000000001,47.64506172839506,11273.553418803418,47199.35897435898,35.41217448996517,64.58782551003483,1,29.175651020069665
9,E05000115,Cray Valley West,London,51.391071000000004,0.093278,54.30944625407166,9961.394285714287,46839.142857142855,35.29200143902147,64.70799856097854,1,29.41599712195707
10,E05000116,Crystal Palace,London,51.423864,-0.074338,48.604,11133.003311258279,51296.35761589404,64.94650723725614,35.053492762743865,0,29.893014474512277
11,E05000117,Darwin,London,51.347722999999995,0.043539,30.24852071005917,19061.54106280193,52391.30434782609,35.39659006671609,64.60340993328391,1,29.206819866567827
